base_state,outs_when_up,run_expectancy,state
---,0,0.5000988004888794,---_0
--1,0,1.3719806763285025,--1_0
-1-,0,1.1473775465973126,-1-_0
-11,0,1.9721115537848606,-11_0
1--,0,0.8927124828440398,1--_0
1-1,0,1.8524523713011756,1-1_0
11-,0,1.5120598478008513,11-_0
111,0,2.396989651928504,111_0
---,1,0.2659755438589469,---_1
--1,1,0.9624806885897152,--1_1
-1-,1,0.682678703766085,-1-_1
-11,1,1.3874310915104742,-11_1
1--,1,0.5237220775661231,1--_1
1-1,1,1.201866140319397,1-1_1
11-,1,0.9406468072334359,11-_1
111,1,1.6143102707348518,111_1
---,2,0.10109039922883362,---_2
--1,2,0.3555112881806109,--1_2
-1-,2,0.3205736794263206,-1-_2
-11,2,0.558860419279699,-11_2
1--,2,0.220846958354728,1--_2
1-1,2,0.501757231684239,1-1_2
11-,2,0.45712526931363495,11-_2
111,2,0.7799352750809061,111_2
