pitcher,player_name,pitch_type,game_year,woba_num,woba_denom,wOBAA,xwOBAA,BB,HBP,singles,doubles,triples,HR,K
425794,"Wainwright, Adam",CU,2022,66.472,221,0.3008,0.2933,16,0,40,10,0,4,38
425794,"Wainwright, Adam",CU,2023,49.135,139,0.3535,0.3993,13,0,24,7,0,5,14
425794,"Wainwright, Adam",FC,2022,58.2822,160,0.3643,0.3447,7,4,29,9,0,6,17
425794,"Wainwright, Adam",FC,2023,32.0133,92,0.348,0.3503,5,0,19,8,0,1,6
425794,"Wainwright, Adam",FF,2022,16.2098,60,0.2702,0.3265,10,2,11,0,0,0,11
425794,"Wainwright, Adam",SI,2022,54.5695,172,0.3173,0.3561,11,1,32,7,2,3,39
425794,"Wainwright, Adam",SI,2023,72.1536,142,0.5081,0.4299,12,0,24,14,1,10,21
425844,"Greinke, Zack",CH,2022,21.2993,70,0.3043,0.3038,6,1,14,4,0,0,8
425844,"Greinke, Zack",CH,2023,15.3733,66,0.2329,0.2567,0,0,11,1,0,2,14
425844,"Greinke, Zack",CU,2022,23.0752,90,0.2564,0.3006,2,0,13,8,0,0,8
425844,"Greinke, Zack",FF,2022,38.3231,101,0.3794,0.4138,7,1,20,5,0,4,14
425844,"Greinke, Zack",FF,2023,26.6548,78,0.3417,0.3933,4,3,13,5,0,2,13
425844,"Greinke, Zack",SL,2023,17.1604,74,0.2319,0.2622,3,0,14,1,0,1,12
434378,"Verlander, Justin",CU,2022,16.7735,68,0.2467,0.2189,0,1,7,2,0,3,24
434378,"Verlander, Justin",CU,2023,26.2243,89,0.2947,0.2819,4,0,20,0,0,3,19
434378,"Verlander, Justin",FF,2022,50.0331,220,0.2274,0.2764,14,3,26,6,0,4,35
434378,"Verlander, Justin",FF,2023,70.3071,239,0.2942,0.3355,14,3,26,11,1,9,38
434378,"Verlander, Justin",FF,2024,68.6684,179,0.3836,0.3359,17,2,35,8,0,7,30
434378,"Verlander, Justin",FF,2025,70.5423,183,0.3855,0.3765,13,4,29,14,0,7,27
434378,"Verlander, Justin",SL,2022,30.1611,160,0.1885,0.2144,5,1,21,3,0,2,66
434378,"Verlander, Justin",SL,2023,39.5851,146,0.2711,0.248,11,1,19,7,0,3,43
434378,"Verlander, Justin",SL,2024,22.3494,88,0.254,0.2533,4,1,11,2,0,3,16
434378,"Verlander, Justin",SL,2025,42.2478,116,0.3642,0.2991,7,0,17,14,0,2,33
434671,"Sánchez, Aníbal",CH,2022,34.4021,94,0.366,0.3428,13,1,8,5,0,5,20
434671,"Sánchez, Aníbal",FC,2022,14.4596,69,0.2096,0.2652,7,2,11,0,0,0,15
445276,"Jansen, Kenley",FC,2022,22.1522,108,0.2051,0.2086,9,1,11,2,1,1,35
445276,"Jansen, Kenley",FC,2023,34.1459,113,0.3022,0.2779,10,1,19,7,0,1,30
445276,"Jansen, Kenley",FC,2024,17.9121,89,0.2013,0.2578,7,0,9,1,0,2,29
445276,"Jansen, Kenley",FC,2025,30.0513,123,0.2443,0.3382,10,0,11,2,0,5,24
445926,"Chavez, Jesse",FC,2022,33.9662,113,0.3006,0.2855,13,1,13,4,1,3,39
445926,"Chavez, Jesse",FC,2024,29.8638,99,0.3017,0.31,8,0,15,2,0,4,25
445926,"Chavez, Jesse",SI,2024,26.4656,63,0.4201,0.3135,5,1,9,4,0,4,17
446372,"Kluber, Corey",CU,2022,43.711,136,0.3214,0.2857,3,1,19,8,1,5,40
446372,"Kluber, Corey",CU,2023,22.2809,71,0.3138,0.2447,3,1,7,5,0,3,20
446372,"Kluber, Corey",FC,2022,45.244,145,0.312,0.3081,2,0,36,3,0,4,21
446372,"Kluber, Corey",FC,2023,30.9211,61,0.5069,0.5107,9,2,7,3,0,6,5
446372,"Kluber, Corey",SI,2022,49.1217,130,0.3779,0.375,5,2,22,7,1,6,19
448179,"Hill, Rich",CU,2022,48.663,169,0.2879,0.2996,12,1,20,9,1,4,24
448179,"Hill, Rich",CU,2023,73.1239,203,0.3602,0.3566,22,3,27,18,1,4,42
448179,"Hill, Rich",FC,2023,34.1075,70,0.4872,0.4485,7,0,13,7,0,4,8
448179,"Hill, Rich",FF,2022,49.3893,136,0.3632,0.3382,12,1,20,10,2,3,38
448179,"Hill, Rich",FF,2023,51.7864,165,0.3139,0.3354,14,1,17,6,2,7,43
448179,"Hill, Rich",ST,2022,18.7141,62,0.3018,0.2415,1,1,12,0,0,3,23
450203,"Morton, Charlie",CU,2022,56.4741,218,0.2591,0.2463,12,13,15,9,2,5,91
450203,"Morton, Charlie",CU,2023,52.7307,229,0.2303,0.2584,17,6,24,7,0,4,84
450203,"Morton, Charlie",CU,2024,53.4229,195,0.274,0.2516,20,8,21,5,0,5,62
450203,"Morton, Charlie",CU,2025,66.8888,204,0.3279,0.3032,17,9,26,6,1,8,69
450203,"Morton, Charlie",FF,2022,71.8123,210,0.342,0.3312,21,1,34,4,0,10,53
450203,"Morton, Charlie",FF,2023,74.3313,171,0.4347,0.4183,29,2,31,9,2,6,27
450203,"Morton, Charlie",FF,2024,52.8794,134,0.3946,0.3594,15,1,18,10,0,6,32
450203,"Morton, Charlie",FF,2025,49.291,116,0.4249,0.3728,17,2,9,8,0,8,27
450203,"Morton, Charlie",SI,2025,28.9977,86,0.3372,0.363,10,0,17,3,0,2,13
453178,"Kennedy, Ian",FF,2022,51.8043,148,0.35,0.3743,15,0,17,5,1,8,28
453268,"Bard, Daniel",SI,2022,14.9559,75,0.1994,0.2825,7,1,9,2,0,0,15
453268,"Bard, Daniel",SL,2022,20.362,86,0.2368,0.2078,7,2,7,3,0,2,37
453268,"Bard, Daniel",SL,2023,29.2667,74,0.3955,0.4087,12,0,7,5,0,4,21
453286,"Scherzer, Max",CH,2022,18.0189,62,0.2906,0.2699,6,1,9,1,0,2,18
453286,"Scherzer, Max",CH,2023,24.4451,89,0.2747,0.2459,10,0,13,4,0,1,27
453286,"Scherzer, Max",CU,2023,20.9405,62,0.3378,0.2421,5,1,6,2,0,4,22
453286,"Scherzer, Max",FC,2023,11.8962,62,0.1919,0.1969,5,0,5,0,0,2,25
453286,"Scherzer, Max",FF,2022,43.9978,178,0.2472,0.3074,12,4,18,5,0,5,34
453286,"Scherzer, Max",FF,2023,63.6022,194,0.3278,0.3268,15,3,29,7,0,8,40
453286,"Scherzer, Max",FF,2024,23.0707,60,0.3845,0.3364,4,1,7,5,0,3,10
453286,"Scherzer, Max",FF,2025,46.275,123,0.3762,0.3906,9,1,15,6,0,8,24
453286,"Scherzer, Max",SL,2022,15.81,98,0.1613,0.1406,0,0,9,6,0,0,41
453286,"Scherzer, Max",SL,2023,40.6267,92,0.4416,0.3535,1,0,14,3,0,10,25
453286,"Scherzer, Max",SL,2025,20.6047,63,0.3271,0.2618,1,0,4,5,0,4,20
453343,"Melancon, Mark",FC,2022,43.7253,117,0.3737,0.3835,12,1,23,5,0,4,7
455119,"Martin, Chris",FF,2022,16.6971,77,0.2168,0.211,3,0,3,4,1,2,36
456501,"Cueto, Johnny",CH,2022,33.8483,111,0.3049,0.3258,7,1,19,6,0,2,23
456501,"Cueto, Johnny",FC,2022,39.8676,97,0.411,0.3502,3,1,13,7,1,6,10
456501,"Cueto, Johnny",FF,2022,24.805,96,0.2584,0.2471,4,0,14,6,0,1,25
456501,"Cueto, Johnny",FF,2023,26.3139,71,0.3706,0.3338,5,0,9,1,0,6,17
456501,"Cueto, Johnny",SI,2022,45.9956,131,0.3511,0.366,8,1,26,7,1,3,11
456501,"Cueto, Johnny",SL,2022,18.6615,76,0.2455,0.2599,0,1,12,4,0,1,12
