pitching_team,game_year,woba_denom,wOBAA,xwOBAA,HR,K,BB,league_wOBAA,league_xwOBAA,wOBAA_minus,xwOBAA_minus
ATL,2022,4537,0.2977,0.2957,121,1138,383,0.31495666666666666,0.3085233333333333,94.5,95.8
ATL,2023,4725,0.3148,0.3165,148,1189,382,0.32471333333333335,0.32110000000000005,96.9,98.6
ATL,2024,4474,0.3034,0.2957,124,1175,329,0.31562,0.31246666666666667,96.1,94.6
ATL,2025,4762,0.3239,0.3258,162,1102,401,0.3198066666666667,0.3250766666666667,101.3,100.2
AZ,2022,4811,0.327,0.321,158,957,385,0.31495666666666666,0.3085233333333333,103.8,104.0
AZ,2023,4755,0.3263,0.3259,159,1055,399,0.32471333333333335,0.32110000000000005,100.5,101.5
AZ,2024,4713,0.335,0.324,147,1012,345,0.31562,0.31246666666666667,106.1,103.7
AZ,2025,4343,0.3303,0.3313,140,910,347,0.3198066666666667,0.3250766666666667,103.3,101.9
BAL,2022,4493,0.3177,0.3177,126,892,326,0.31495666666666666,0.3085233333333333,100.9,103.0
BAL,2023,4852,0.3089,0.3168,141,1144,373,0.32471333333333335,0.32110000000000005,95.1,98.7
BAL,2024,5082,0.3045,0.3039,148,1187,399,0.31562,0.31246666666666667,96.5,97.3
BAL,2025,4422,0.3355,0.3303,169,964,342,0.3198066666666667,0.3250766666666667,104.9,101.6
BOS,2022,4612,0.3266,0.3198,137,1001,382,0.31495666666666666,0.3085233333333333,103.7,103.7
BOS,2023,4929,0.3376,0.3148,178,1155,376,0.32471333333333335,0.32110000000000005,104.0,98.0
BOS,2024,4091,0.3089,0.3046,127,930,266,0.31562,0.31246666666666667,97.9,97.5
BOS,2025,4188,0.3035,0.323,110,941,347,0.3198066666666667,0.3250766666666667,94.9,99.4
CHC,2022,4758,0.3314,0.3209,175,1064,395,0.31495666666666666,0.3085233333333333,105.2,104.0
CHC,2023,4747,0.3128,0.318,145,1108,406,0.32471333333333335,0.32110000000000005,96.3,99.0
CHC,2024,4535,0.3044,0.3091,136,1003,358,0.31562,0.31246666666666667,96.4,98.9
CHC,2025,4235,0.3075,0.318,149,923,278,0.3198066666666667,0.3250766666666667,96.2,97.8
CIN,2022,4708,0.3476,0.3166,168,1077,467,0.31495666666666666,0.3085233333333333,110.4,102.6
CIN,2023,4767,0.3454,0.328,173,1046,452,0.32471333333333335,0.32110000000000005,106.4,102.1
CIN,2024,4437,0.315,0.3058,142,1020,364,0.31562,0.31246666666666667,99.8,97.9
CIN,2025,4138,0.3073,0.3138,139,978,322,0.3198066666666667,0.3250766666666667,96.1,96.5
CLE,2022,4453,0.304,0.3091,138,1029,320,0.31495666666666666,0.3085233333333333,96.5,100.2
CLE,2023,4163,0.3132,0.3252,118,887,357,0.32471333333333335,0.32110000000000005,96.5,101.3
CLE,2024,4177,0.3099,0.3049,127,1028,345,0.31562,0.31246666666666667,98.2,97.6
CLE,2025,4191,0.3081,0.3167,120,962,353,0.3198066666666667,0.3250766666666667,96.3,97.4
COL,2022,4716,0.3465,0.33,140,906,395,0.31495666666666666,0.3085233333333333,110.0,107.0
COL,2023,4626,0.3731,0.3516,174,817,426,0.32471333333333335,0.32110000000000005,114.9,109.5
COL,2024,4750,0.3598,0.344,175,880,417,0.31562,0.31246666666666667,114.0,110.1
COL,2025,5124,0.3828,0.3647,212,865,438,0.3198066666666667,0.3250766666666667,119.7,112.2
CWS,2022,4846,0.3126,0.3029,137,1163,407,0.31495666666666666,0.3085233333333333,99.3,98.2
CWS,2023,4761,0.3449,0.3338,180,1097,468,0.32471333333333335,0.32110000000000005,106.2,104.0
CWS,2024,4851,0.337,0.3229,165,1073,471,0.31562,0.31246666666666667,106.8,103.3
CWS,2025,4672,0.3303,0.3412,150,968,446,0.3198066666666667,0.3250766666666667,103.3,105.0
DET,2022,4964,0.3159,0.3258,137,985,421,0.31495666666666666,0.3085233333333333,100.3,105.6
DET,2023,4484,0.3147,0.3183,143,1041,344,0.32471333333333335,0.32110000000000005,96.9,99.1
DET,2024,4380,0.2917,0.2952,120,1005,267,0.31562,0.31246666666666667,92.4,94.5
DET,2025,4507,0.3147,0.3225,146,1020,373,0.3198066666666667,0.3250766666666667,98.4,99.2
HOU,2022,4502,0.275,0.2828,109,1159,347,0.31495666666666666,0.3085233333333333,87.3,91.7
HOU,2023,4587,0.3168,0.3206,157,1099,397,0.32471333333333335,0.32110000000000005,97.6,99.8
HOU,2024,4747,0.3099,0.304,149,1155,425,0.31562,0.31246666666666667,98.2,97.3
HOU,2025,4600,0.3096,0.3114,155,1134,377,0.3198066666666667,0.3250766666666667,96.8,95.8
KC,2022,4563,0.3438,0.3346,129,871,449,0.31495666666666666,0.3085233333333333,109.2,108.5
KC,2023,4379,0.3399,0.3346,155,922,379,0.32471333333333335,0.32110000000000005,104.7,104.2
KC,2024,5103,0.3056,0.3136,132,1146,392,0.31562,0.31246666666666667,96.8,100.4
KC,2025,4355,0.3211,0.3281,134,886,349,0.3198066666666667,0.3250766666666667,100.4,100.9
LAA,2022,4413,0.3047,0.3053,127,1035,383,0.31495666666666666,0.3085233333333333,96.7,99.0
LAA,2023,4946,0.3291,0.3241,170,1141,484,0.32471333333333335,0.32110000000000005,101.4,100.9
LAA,2024,4593,0.339,0.3284,158,940,430,0.31562,0.31246666666666667,107.4,105.1
LAA,2025,4818,0.3412,0.3355,177,992,474,0.3198066666666667,0.3250766666666667,106.7,103.2
LAD,2022,4625,0.2753,0.274,124,1183,309,0.31495666666666666,0.3085233333333333,87.4,88.8
LAD,2023,4563,0.3143,0.3095,157,1051,337,0.32471333333333335,0.32110000000000005,96.8,96.4
LAD,2024,4405,0.3091,0.311,143,1058,356,0.31562,0.31246666666666667,97.9,99.5
LAD,2025,4412,0.3041,0.3096,134,1118,399,0.3198066666666667,0.3250766666666667,95.1,95.2
MIA,2022,4437,0.319,0.3033,129,1081,346,0.31495666666666666,0.3085233333333333,101.3,98.3
MIA,2023,4658,0.3275,0.3137,158,1139,359,0.32471333333333335,0.32110000000000005,100.9,97.7
MIA,2024,4438,0.3445,0.3335,153,938,391,0.31562,0.31246666666666667,109.2,106.7
MIA,2025,4595,0.3245,0.3349,143,972,357,0.3198066666666667,0.3250766666666667,101.5,103.0
MIL,2022,4555,0.3025,0.2945,137,1193,399,0.31495666666666666,0.3085233333333333,96.0,95.5
MIL,2023,4524,0.2966,0.3069,146,1082,350,0.32471333333333335,0.32110000000000005,91.3,95.6
MIL,2024,4377,0.3139,0.3157,149,1015,348,0.31562,0.31246666666666667,99.5,101.0
MIL,2025,4449,0.2993,0.3113,127,1057,388,0.3198066666666667,0.3250766666666667,93.6,95.8
MIN,2022,4497,0.3157,0.3095,130,993,347,0.31495666666666666,0.3085233333333333,100.2,100.3
MIN,2023,4521,0.3124,0.2988,145,1135,326,0.32471333333333335,0.32110000000000005,96.2,93.1
MIN,2024,4326,0.3154,0.3029,148,1076,286,0.31562,0.31246666666666667,99.9,96.9
MIN,2025,4510,0.3308,0.33,148,1016,348,0.3198066666666667,0.3250766666666667,103.4,101.5
NYM,2022,4435,0.2915,0.2864,114,1178,302,0.31495666666666666,0.3085233333333333,92.6,92.8
NYM,2023,4686,0.3174,0.3203,149,1102,438,0.32471333333333335,0.32110000000000005,97.7,99.8
NYM,2024,4412,0.2974,0.3056,117,1076,416,0.31562,0.31246666666666667,94.2,97.8
NYM,2025,4495,0.3159,0.3243,114,1029,420,0.3198066666666667,0.3250766666666667,98.8,99.8
NYY,2022,4086,0.2905,0.2906,115,1020,300,0.31495666666666666,0.3085233333333333,92.2,94.2
NYY,2023,4626,0.3167,0.3156,154,1076,390,0.32471333333333335,0.32110000000000005,97.5,98.3
NYY,2024,4717,0.3098,0.3092,144,1122,415,0.31562,0.31246666666666667,98.2,99.0
NYY,2025,4761,0.3133,0.3192,144,1111,439,0.3198066666666667,0.3250766666666667,98.0,98.2
OAK,2022,4882,0.3377,0.3248,160,958,377,0.31495666666666666,0.3085233333333333,107.2,105.3
OAK,2023,4662,0.357,0.3455,166,939,494,0.32471333333333335,0.32110000000000005,109.9,107.6
OAK,2024,4492,0.3202,0.3166,125,927,374,0.31562,0.31246666666666667,101.5,101.3
OAK,2025,4570,0.3361,0.3281,169,988,390,0.3198066666666667,0.3250766666666667,105.1,100.9
PHI,2022,4545,0.3099,0.2981,118,1066,328,0.31495666666666666,0.3085233333333333,98.4,96.6
PHI,2023,4553,0.3133,0.3049,136,1109,344,0.32471333333333335,0.32110000000000005,96.5,95.0
PHI,2024,4463,0.312,0.3011,141,1054,307,0.31562,0.31246666666666667,98.9,96.4
PHI,2025,4291,0.3116,0.3099,135,1023,315,0.3198066666666667,0.3250766666666667,97.4,95.3
PIT,2022,4809,0.336,0.3273,133,1007,439,0.31495666666666666,0.3085233333333333,106.7,106.1
PIT,2023,4758,0.3326,0.3316,141,1052,458,0.32471333333333335,0.32110000000000005,102.4,103.3
PIT,2024,4948,0.3205,0.3135,140,1131,389,0.31562,0.31246666666666667,101.5,100.3
PIT,2025,4687,0.3151,0.3248,131,996,375,0.3198066666666667,0.3250766666666667,98.5,99.9
SD,2022,4509,0.3101,0.3011,139,1081,338,0.31495666666666666,0.3085233333333333,98.5,97.6
SD,2023,4522,0.3075,0.311,128,1091,406,0.32471333333333335,0.32110000000000005,94.7,96.9
SD,2024,4594,0.3045,0.3065,125,1130,346,0.31562,0.31246666666666667,96.5,98.1
SD,2025,4475,0.3004,0.3113,142,1105,381,0.3198066666666667,0.3250766666666667,93.9,95.8
SEA,2022,4362,0.3053,0.3016,146,1009,308,0.31495666666666666,0.3085233333333333,96.9,97.8
SEA,2023,4553,0.3145,0.3104,154,1108,314,0.32471333333333335,0.32110000000000005,96.9,96.7
SEA,2024,4429,0.2857,0.2885,137,1078,278,0.31562,0.31246666666666667,90.5,92.3
SEA,2025,4045,0.3126,0.3204,140,936,291,0.3198066666666667,0.3250766666666667,97.7,98.6
SF,2022,4963,0.3087,0.2915,106,1174,355,0.31495666666666666,0.3085233333333333,98.0,94.5
