pitching_team,wOBAA,xwOBAA,wOBAA_minus,xwOBAA_minus,seasons
LAD,0.30069999999999997,0.301025,94.3,94.975,4
HOU,0.302825,0.30469999999999997,94.975,96.15,4
MIL,0.303075,0.3071,95.1,96.975,4
SEA,0.304525,0.30522499999999997,95.5,96.35,4
NYM,0.30555,0.30915,95.825,97.55,4
SD,0.305625,0.307475,95.9,97.1,4
TB,0.307375,0.306575,96.42500000000001,96.775,4
NYY,0.307575,0.30865,96.475,97.425,4
CLE,0.30879999999999996,0.313975,96.875,99.125,4
DET,0.30925,0.31545,97.0,99.6,4
TEX,0.309625,0.316625,97.175,99.975,4
ATL,0.30995,0.308425,97.2,97.3,4
PHI,0.3117,0.3035,97.80000000000001,95.825,4
SF,0.31355,0.30815,98.375,97.275,4
CHC,0.314025,0.3165,98.525,99.925,4
BAL,0.31665,0.317175,99.35,100.15,4
MIN,0.318575,0.3103,99.92500000000001,97.95,4
BOS,0.31915,0.31555,100.125,99.65,4
TOR,0.31920000000000004,0.320425,100.125,101.15,4
STL,0.32405,0.32672500000000004,101.625,103.125,4
PIT,0.32605,0.3243,102.275,102.4,4
KC,0.3276,0.327725,102.775,103.5,4
LAA,0.3285,0.32332500000000003,103.05000000000001,102.05,4
CIN,0.32882500000000003,0.31605,103.175,99.775,4
MIA,0.32887500000000003,0.32135,103.225,101.425,4
AZ,0.32965,0.32555,103.425,102.775,4
CWS,0.3312,0.3252,103.9,102.625,4
OAK,0.33775,0.32875,105.925,103.775,4
WSH,0.34745,0.341225,108.975,107.7,4
COL,0.36555,0.347575,114.65,109.7,4
